Trace File Name, Cache Size (KB), Block Size (bytes), Associativity, Replacement Policy, Total Blocks (KB), Total Blocks Exponent (2^X), Tag Size (bits), Index Size (bits), Total Indicies (KB), Overhead Memory Size (KB), Implementation Memory Size (KB), Cache Hit Rate %, CPI
"Corruption1.trc", 256, 16, 2, RR, 16.0, 14, 15, 13, 8.0, 32.0, 288.0, 95.83, 9.654666666666667
"Corruption1.trc", 256, 16, 2, RND, 16.0, 14, 15, 13, 8.0, 32.0, 288.0, 95.93, 7.460733333333334
"Corruption1.trc", 256, 64, 2, RR, 4.0, 12, 15, 11, 2.0, 8.0, 264.0, 98.70, 13.266
"Corruption1.trc", 256, 64, 2, RND, 4.0, 12, 15, 11, 2.0, 8.0, 264.0, 98.69, 10.32
"Corruption1.trc", 1024, 4, 2, RR, 256.0, 18, 13, 17, 128.0, 448.0, 1472.0, 87.60, 7.4308
"Corruption1.trc", 1024, 4, 2, RND, 256.0, 18, 13, 17, 128.0, 448.0, 1472.0, 88.82, 5.8232
"Corruption1.trc", 1024, 16, 2, RR, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 95.63, 10.0092
"Corruption1.trc", 1024, 16, 2, RND, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 95.78, 7.6874
"Corruption1.trc", 1024, 64, 2, RR, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 98.64, 14.137066666666666
"Corruption1.trc", 1024, 64, 2, RND, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 98.64, 10.9434
"Trace1A.trc", 8, 4, 2, RR, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 93.50, 6.783886289522189
"Trace1A.trc", 8, 4, 2, RND, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 96.26, 4.937083510562881
"Trace1A.trc", 8, 16, 2, RR, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 96.84, 8.050829434283283
"Trace1A.trc", 8, 16, 2, RND, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 97.66, 5.518715440238196
"Trace1A.trc", 8, 64, 2, RR, 0.125, 7, 20, 6, 0.0625, 0.328125, 8.328125, 98.66, 13.74684531405076
"Trace1A.trc", 8, 64, 2, RND, 0.125, 7, 20, 6, 0.0625, 0.328125, 8.328125, 98.83, 8.814936906281016
"Trace1A.trc", 64, 4, 2, RR, 16.0, 14, 17, 13, 8.0, 36.0, 100.0, 96.39, 6.815645824471856
"Trace1A.trc", 64, 4, 2, RND, 16.0, 14, 17, 13, 8.0, 36.0, 100.0, 96.44, 4.963348929533532
"Trace1A.trc", 64, 16, 2, RR, 4.0, 12, 17, 11, 2.0, 9.0, 73.0, 98.08, 6.99773146178931
"Trace1A.trc", 64, 16, 2, RND, 4.0, 12, 17, 11, 2.0, 9.0, 73.0, 98.14, 5.208067489011768
"Trace1A.trc", 64, 64, 2, RR, 1.0, 10, 17, 9, 0.5, 2.25, 66.25, 99.15, 8.769105345243158
"Trace1A.trc", 64, 64, 2, RND, 1.0, 10, 17, 9, 0.5, 2.25, 66.25, 99.22, 6.269530696157664
"Trace1A.trc", 256, 4, 2, RR, 64.0, 16, 15, 15, 32.0, 128.0, 384.0, 96.38, 6.8246136395859915
"Trace1A.trc", 256, 4, 2, RND, 64.0, 16, 15, 15, 32.0, 128.0, 384.0, 96.37, 4.979157805189281
"Trace1A.trc", 256, 16, 2, RR, 16.0, 14, 15, 13, 8.0, 32.0, 288.0, 98.06, 7.023181624840493
"Trace1A.trc", 256, 16, 2, RND, 16.0, 14, 15, 13, 8.0, 32.0, 288.0, 98.08, 5.25747908691337
"Trace1A.trc", 256, 64, 2, RR, 4.0, 12, 15, 11, 2.0, 8.0, 264.0, 99.16, 8.683680703246845
"Trace1A.trc", 256, 64, 2, RND, 4.0, 12, 15, 11, 2.0, 8.0, 264.0, 99.16, 6.576704948248972
"Trace1A.trc", 1024, 4, 2, RR, 256.0, 18, 13, 17, 128.0, 448.0, 1472.0, 96.37, 6.823940167304693
"Trace1A.trc", 1024, 4, 2, RND, 256.0, 18, 13, 17, 128.0, 448.0, 1472.0, 96.35, 4.975081525591946
"Trace1A.trc", 1024, 16, 2, RR, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 98.03, 7.053097972493974
"Trace1A.trc", 1024, 16, 2, RND, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 98.04, 5.281653197221041
"Trace1A.trc", 1024, 64, 2, RR, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 99.14, 8.831844605132568
"Trace1A.trc", 1024, 64, 2, RND, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 99.14, 6.703140507585425
"Trace2A.trc", 8, 4, 2, RR, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 96.50, 6.647123910805121
"Trace2A.trc", 8, 4, 2, RND, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 96.89, 4.871699118398877
"Trace2A.trc", 8, 16, 2, RR, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 98.15, 6.849287701126462
"Trace2A.trc", 8, 16, 2, RND, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 98.43, 4.990533417344132
"Trace2A.trc", 8, 64, 2, RR, 0.125, 7, 20, 6, 0.0625, 0.328125, 8.328125, 99.10, 9.133910139181305
"Trace2A.trc", 8, 64, 2, RND, 0.125, 7, 20, 6, 0.0625, 0.328125, 8.328125, 99.30, 5.952031883122538
"Trace2A.trc", 64, 4, 2, RR, 16.0, 14, 17, 13, 8.0, 36.0, 100.0, 97.52, 6.765000281743531
"Trace2A.trc", 64, 4, 2, RND, 16.0, 14, 17, 13, 8.0, 36.0, 100.0, 97.41, 4.912966861838095
"Trace2A.trc", 64, 16, 2, RR, 4.0, 12, 17, 11, 2.0, 9.0, 73.0, 98.89, 6.388529452444253
"Trace2A.trc", 64, 16, 2, RND, 4.0, 12, 17, 11, 2.0, 9.0, 73.0, 98.85, 4.76129151234805
"Trace2A.trc", 64, 64, 2, RR, 1.0, 10, 17, 9, 0.5, 2.25, 66.25, 99.54, 6.797672286169466
"Trace2A.trc", 64, 64, 2, RND, 1.0, 10, 17, 9, 0.5, 2.25, 66.25, 99.57, 5.005931981988905
"Trace2A.trc", 256, 4, 2, RR, 64.0, 16, 15, 15, 32.0, 128.0, 384.0, 96.95, 6.8314405290631255
"Trace2A.trc", 256, 4, 2, RND, 64.0, 16, 15, 15, 32.0, 128.0, 384.0, 96.96, 4.969315568123025
"Trace2A.trc", 256, 16, 2, RR, 16.0, 14, 15, 13, 8.0, 32.0, 288.0, 98.62, 6.609580304590371
"Trace2A.trc", 256, 16, 2, RND, 16.0, 14, 15, 13, 8.0, 32.0, 288.0, 98.55, 4.953824796504331
"Trace2A.trc", 256, 64, 2, RR, 4.0, 12, 15, 11, 2.0, 8.0, 264.0, 99.48, 7.043393626449058
"Trace2A.trc", 256, 64, 2, RND, 4.0, 12, 15, 11, 2.0, 8.0, 264.0, 99.48, 5.285447178210467
"Trace2A.trc", 1024, 4, 2, RR, 256.0, 18, 13, 17, 128.0, 448.0, 1472.0, 96.77, 6.848340018338942
"Trace2A.trc", 1024, 4, 2, RND, 256.0, 18, 13, 17, 128.0, 448.0, 1472.0, 96.81, 4.986706827926419
"Trace2A.trc", 1024, 16, 2, RR, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 98.48, 6.723332974750657
"Trace2A.trc", 1024, 16, 2, RND, 64.0, 16, 13, 15, 32.0, 112.0, 1136.0, 98.41, 5.0469640853836575
"Trace2A.trc", 1024, 64, 2, RR, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 99.41, 7.330208541439351
"Trace2A.trc", 1024, 64, 2, RND, 16.0, 14, 13, 13, 8.0, 28.0, 1052.0, 99.41, 5.5092232586969105
"A-9_new 1.5.pdf.trc", 8, 4, 2, RR, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 93.04, 6.79385146088306
"A-9_new 1.5.pdf.trc", 8, 4, 2, RND, 2.0, 11, 20, 10, 1.0, 5.25, 13.25, 93.96, 5.185527923110609
"A-9_new 1.5.pdf.trc", 8, 16, 2, RR, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 97.15, 7.9921789168798645
"A-9_new 1.5.pdf.trc", 8, 16, 2, RND, 0.5, 9, 20, 8, 0.25, 1.3125, 9.3125, 97.53, 5.81612003595547
"A-9_new 1.5.pdf.trc", 8, 64, 2, RR, 0.125, 7, 20, 6, 0.0625, 0.328125, 8.328125, 98.78, 12.490707662049308
"A-9_new 1.5.pdf.trc", 8, 64, 2, RND, 0.125, 7, 20, 6, 0.0625, 0.328125, 8.328125, 98.92, 8.295380336659983
